,bet_offer_id,closed,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score
4194,2470295083,2024-11-23T15:00:00Z,1000505272,Correcte Score - 1e Helft,Correct Score - 1st Half,GOALS,,3,Correcte Score,Correct Score,1021042514,3560249162,3-1,3-1,91000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,90/1,9000,OPEN,ENABLED,3,1
4195,2470295083,2024-11-23T15:00:00Z,1000505272,Correcte Score - 1e Helft,Correct Score - 1st Half,GOALS,,3,Correcte Score,Correct Score,1021042514,3560249170,3-2,3-2,161000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,160/1,16000,OPEN,ENABLED,3,2
4196,2470295084,2024-11-23T15:00:00Z,1001159633,Totaal Aantal Doelpunten door Chelsea,Total Goals by Chelsea,,FULL_TIME,6,Over/Onder,Over/Under,1021042514,3560249066,Meer dan,Over,12500.0,4500.0,,OT_OVER,2024-11-04T08:33:07Z,23/2,1150,OPEN,ENABLED,,
4197,2470295084,2024-11-23T15:00:00Z,1001159633,Totaal Aantal Doelpunten door Chelsea,Total Goals by Chelsea,,FULL_TIME,6,Over/Onder,Over/Under,1021042514,3560249071,Minder dan,Under,,4500.0,,OT_UNDER,2024-11-04T08:33:07Z,,,SUSPENDED,ENABLED,,
4198,2470295086,2024-11-23T15:00:00Z,1002244276,Asian Totaal,Asian Total,GOALS,FULL_TIME,21,Asian Over/Under,Asian Over/Under,1021042514,3560249070,Meer dan,Over,8000.0,5500.0,,OT_OVER,2024-11-04T08:33:07Z,7/1,700,OPEN,DISABLED,,
4199,2470295086,2024-11-23T15:00:00Z,1002244276,Asian Totaal,Asian Total,GOALS,FULL_TIME,21,Asian Over/Under,Asian Over/Under,1021042514,3560249076,Minder dan,Under,1090.0,5500.0,,OT_UNDER,2024-11-04T08:33:07Z,1/12,-1115,OPEN,DISABLED,,
4200,2470295087,2024-11-23T15:00:00Z,1001159967,Totaal Aantal Doelpunten door Leicester City,Total Goals by Leicester City,,FULL_TIME,6,Over/Onder,Over/Under,1021042514,3560249075,Meer dan,Over,2700.0,1500.0,,OT_OVER,2024-11-04T08:33:07Z,17/10,170,OPEN,ENABLED,,
4201,2470295087,2024-11-23T15:00:00Z,1001159967,Totaal Aantal Doelpunten door Leicester City,Total Goals by Leicester City,,FULL_TIME,6,Over/Onder,Over/Under,1021042514,3560249082,Minder dan,Under,1410.0,1500.0,,OT_UNDER,2024-11-04T08:33:07Z,2/5,-245,OPEN,ENABLED,,
4202,2470295088,2024-11-23T15:00:00Z,1002275573,Asian Handicap – 1e Helft,Asian Handicap - 1st Half,GOALS,,7,Asian Handicap,Asian Handicap,1021042514,3560249077,Leicester City,Leicester City,1210.0,1000.0,Leicester City,OT_UNTYPED,2024-11-04T08:33:07Z,1/5,-480,OPEN,DISABLED,,
4203,2470295088,2024-11-23T15:00:00Z,1002275573,Asian Handicap – 1e Helft,Asian Handicap - 1st Half,GOALS,,7,Asian Handicap,Asian Handicap,1021042514,3560249084,Chelsea,Chelsea,4250.0,-1000.0,Chelsea,OT_UNTYPED,2024-11-04T08:33:07Z,13/4,325,OPEN,DISABLED,,
4204,2470295089,2024-11-23T15:00:00Z,1002275573,Asian Handicap – 1e Helft,Asian Handicap - 1st Half,GOALS,,7,Asian Handicap,Asian Handicap,1021042514,3560249079,Leicester City,Leicester City,1160.0,1250.0,Leicester City,OT_UNTYPED,2024-11-04T08:33:07Z,2/13,-625,OPEN,DISABLED,,
4205,2470295089,2024-11-23T15:00:00Z,1002275573,Asian Handicap – 1e Helft,Asian Handicap - 1st Half,GOALS,,7,Asian Handicap,Asian Handicap,1021042514,3560249086,Chelsea,Chelsea,5000.0,-1250.0,Chelsea,OT_UNTYPED,2024-11-04T08:33:07Z,4/1,400,OPEN,DISABLED,,
4206,2470295090,2024-11-23T15:00:00Z,1002275572,Asian Handicap,Asian Handicap,GOALS,FULL_TIME,7,Asian Handicap,Asian Handicap,1021042514,3560249083,Leicester City,Leicester City,1440.0,1500.0,Leicester City,OT_UNTYPED,2024-11-04T08:33:07Z,11/25,-230,OPEN,DISABLED,,
4207,2470295090,2024-11-23T15:00:00Z,1002275572,Asian Handicap,Asian Handicap,GOALS,FULL_TIME,7,Asian Handicap,Asian Handicap,1021042514,3560249091,Chelsea,Chelsea,2800.0,-1500.0,Chelsea,OT_UNTYPED,2024-11-04T08:33:07Z,9/5,180,OPEN,DISABLED,,
4208,2470295091,2024-11-23T15:00:00Z,1001224081,3-Way Handicap,3-Way Handicap,GOALS,FULL_TIME,11,3-Way handicap,3-Way Handicap,1021042514,3560249088,1,1,10000.0,-1000.0,Leicester City,OT_ONE,2024-11-04T08:33:07Z,9/1,900,OPEN,ENABLED,,
4209,2470295091,2024-11-23T15:00:00Z,1001224081,3-Way Handicap,3-Way Handicap,GOALS,FULL_TIME,11,3-Way handicap,3-Way Handicap,1021042514,3560249093,X,X,6500.0,-1000.0,,OT_CROSS,2024-11-04T08:33:07Z,11/2,550,OPEN,ENABLED,,
4210,2470295091,2024-11-23T15:00:00Z,1001224081,3-Way Handicap,3-Way Handicap,GOALS,FULL_TIME,11,3-Way handicap,3-Way Handicap,1021042514,3560249099,2,2,1180.0,-1000.0,Chelsea,OT_TWO,2024-11-04T08:33:07Z,1/6,-560,OPEN,ENABLED,,
4211,2470295092,2024-11-23T15:00:00Z,1004227408,Doelpunt Gescoord - 0:00-14:59,Goal scored - 0:00-14:59,,,18,Ja/Nee,Yes/No,1021042514,3560249100,Nee,No,1420.0,,,OT_NO,2024-11-04T08:33:07Z,21/50,-240,OPEN,ENABLED,,
4212,2470295092,2024-11-23T15:00:00Z,1004227408,Doelpunt Gescoord - 0:00-14:59,Goal scored - 0:00-14:59,,,18,Ja/Nee,Yes/No,1021042514,3560249112,Ja,Yes,2630.0,,,OT_YES,2024-11-04T08:33:07Z,13/8,163,OPEN,ENABLED,,
4213,2470295093,2024-11-23T15:00:00Z,1002244276,Asian Totaal,Asian Total,GOALS,FULL_TIME,21,Asian Over/Under,Asian Over/Under,1021042514,3560249098,Meer dan,Over,1170.0,1750.0,,OT_OVER,2024-11-04T08:33:07Z,1/6,-590,OPEN,DISABLED,,
4214,2470295093,2024-11-23T15:00:00Z,1002244276,Asian Totaal,Asian Total,GOALS,FULL_TIME,21,Asian Over/Under,Asian Over/Under,1021042514,3560249104,Minder dan,Under,5200.0,1750.0,,OT_UNDER,2024-11-04T08:33:07Z,21/5,420,OPEN,DISABLED,,
4215,2470295094,2024-11-23T15:00:00Z,1001774535,Leicester City Scoort Als Eerste en Wint de Wedstrijd,Leicester City to Score First and Win the Match,,,18,Ja/Nee,Yes/No,1021042514,3560249121,Ja,Yes,5300.0,,,OT_YES,2024-11-04T08:33:07Z,17/4,430,OPEN,ENABLED,,
