,bet_offer_id,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score,event_name,sport,group_name
0,2487555582,1001159858,Reguliere Speeltijd,Full Time,GOALS,FULL_TIME,2,Wedstrijd ,Match,1022549196,3619788331,1,1,1750.0,,Porto Sport Club,1,2025-01-21T07:45:12Z,3/4,-134,OPEN,ENABLED,,,Porto Sport Club vs Atlético de Alagoinhas-BA,FOOTBALL,Baiano
1,2487555582,1001159858,Reguliere Speeltijd,Full Time,GOALS,FULL_TIME,2,Wedstrijd ,Match,1022549196,3619788333,X,X,3600.0,,,OT_CROSS,2025-01-21T07:45:12Z,13/5,260,OPEN,ENABLED,,,Porto Sport Club vs Atlético de Alagoinhas-BA,FOOTBALL,Baiano
2,2487555582,1001159858,Reguliere Speeltijd,Full Time,GOALS,FULL_TIME,2,Wedstrijd ,Match,1022549196,3619788335,2,2,3900.0,,Atlético de Alagoinhas-BA,2,2025-01-21T07:45:12Z,29/10,290,OPEN,ENABLED,,,Porto Sport Club vs Atlético de Alagoinhas-BA,FOOTBALL,Baiano
3,2487555583,1001159926,Totaal Aantal Doelpunten,Total Goals,GOALS,FULL_TIME,6,Over/Onder,Over/Under,1022549196,3619788332,Meer dan,Over,2020.0,2500.0,,OT_OVER,2025-01-21T07:45:12Z,Evens,102,OPEN,ENABLED,,,Porto Sport Club vs Atlético de Alagoinhas-BA,FOOTBALL,Baiano
4,2487555583,1001159926,Totaal Aantal Doelpunten,Total Goals,GOALS,FULL_TIME,6,Over/Onder,Over/Under,1022549196,3619788334,Minder dan,Under,1650.0,2500.0,,OT_UNDER,2025-01-21T07:45:12Z,13/20,-155,OPEN,ENABLED,,,Porto Sport Club vs Atlético de Alagoinhas-BA,FOOTBALL,Baiano
5,2487555587,1001159926,Totaal Aantal Doelpunten,Total Goals,GOALS,FULL_TIME,6,Over/Onder,Over/Under,1022549196,3619788396,Meer dan,Over,3700.0,3500.0,,OT_OVER,2025-01-21T07:45:12Z,27/10,270,OPEN,ENABLED,,,Porto Sport Club vs Atlético de Alagoinhas-BA,FOOTBALL,Baiano
6,2487555587,1001159926,Totaal Aantal Doelpunten,Total Goals,GOALS,FULL_TIME,6,Over/Onder,Over/Under,1022549196,3619788398,Minder dan,Under,1210.0,3500.0,,OT_UNDER,2025-01-21T07:45:12Z,1/5,-480,OPEN,ENABLED,,,Porto Sport Club vs Atlético de Alagoinhas-BA,FOOTBALL,Baiano
7,2487555590,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1022549196,3619788401,0-0,0-0,9500.0,,,OT_UNTYPED,2025-01-21T07:45:12Z,17/2,850,OPEN,ENABLED,0,0,Porto Sport Club vs Atlético de Alagoinhas-BA,FOOTBALL,Baiano
8,2487555590,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1022549196,3619788409,0-1,0-1,9500.0,,,OT_UNTYPED,2025-01-21T07:45:12Z,17/2,850,OPEN,ENABLED,0,1,Porto Sport Club vs Atlético de Alagoinhas-BA,FOOTBALL,Baiano
9,2487555590,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1022549196,3619788417,0-2,0-2,17000.0,,,OT_UNTYPED,2025-01-21T07:45:12Z,16/1,1600,OPEN,ENABLED,0,2,Porto Sport Club vs Atlético de Alagoinhas-BA,FOOTBALL,Baiano
