,bet_offer_id,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score,event_name,sport,group_name
41,2480017745,1002244276,Asian Totaal,Asian Total,GOALS,FULL_TIME,21,Asian Over/Under,Asian Over/Under,1022274708,3593920728,Meer dan,Over,2070.0,2750.0,,OT_OVER,2025-01-21T14:53:00Z,21/20,107,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
42,2480017745,1002244276,Asian Totaal,Asian Total,GOALS,FULL_TIME,21,Asian Over/Under,Asian Over/Under,1022274708,3593920735,Minder dan,Under,1740.0,2750.0,,OT_UNDER,2025-01-21T14:53:00Z,8/11,-136,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
43,2480017746,1001159967,Totaal Aantal Doelpunten door Bologna,Total Goals by Bologna,,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3593920731,Meer dan,Over,1330.0,500.0,,OT_OVER,2025-01-21T14:53:00Z,33/100,-305,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
44,2480017746,1001159967,Totaal Aantal Doelpunten door Bologna,Total Goals by Bologna,,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3593920738,Minder dan,Under,3000.0,500.0,,OT_UNDER,2025-01-21T14:53:00Z,2/1,200,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
45,2480017747,1001159532,Totaal Aantal Doelpunten - 1e Helft,Total Goals - 1st Half,GOALS,,6,Over/Onder,Over/Under,1022274708,3593920741,Meer dan,Over,2650.0,1500.0,,OT_OVER,2025-01-21T14:53:00Z,33/20,165,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
46,2480017747,1001159532,Totaal Aantal Doelpunten - 1e Helft,Total Goals - 1st Half,GOALS,,6,Over/Onder,Over/Under,1022274708,3593920748,Minder dan,Under,1420.0,1500.0,,OT_UNDER,2025-01-21T14:53:00Z,21/50,-240,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
47,2480017748,1001159967,Totaal Aantal Doelpunten door Bologna,Total Goals by Bologna,,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3593920746,Meer dan,Over,2550.0,1500.0,,OT_OVER,2025-01-21T14:53:00Z,31/20,155,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
48,2480017748,1001159967,Totaal Aantal Doelpunten door Bologna,Total Goals by Bologna,,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3593920753,Minder dan,Under,1440.0,1500.0,,OT_UNDER,2025-01-21T14:53:00Z,11/25,-230,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
49,2480017750,1000316018,Rust,Half Time,GOALS,,2,Wedstrijd ,Match,1022274708,3593920759,1,1,3400.0,,Bologna,1,2025-01-21T14:53:00Z,12/5,240,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
50,2480017750,1000316018,Rust,Half Time,GOALS,,2,Wedstrijd ,Match,1022274708,3593920766,X,X,2230.0,,,OT_CROSS,2025-01-21T14:53:00Z,6/5,123,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
