categoryName,tournamentName,eventId,participant1,participant2,date,time,eventStatus
Kosovo,Superliga,id101418955217721,FC Prishtina,KF Drita,2024-11-06,16:00:00,pre-game
Kuwait,Premier League,id100100254055145,Al Salmiyah,Al-Arabi KW,2024-11-06,17:30:00,pre-game
Lithuania,A Lyga,id100019851948089,FK Hegelmann Litauen,FK Transinvest,2024-11-06,16:00:00,pre-game
Lithuania,A Lyga,id100019855301181,FK Zalgiris Vilnius,FK Siauliai,2024-11-06,17:00:00,pre-game
Malta,Premier League,id100062952307867,Zabbar Saint Patrick FC,Melita FC,2024-11-06,17:00:00,pre-game
Malta,Premier League,id100062952307877,Mosta FC,Balzan Youths,2024-11-06,19:30:00,pre-game
Mexico,Liga Premier Serie A,id104053354229905,Petroleros de Salamanca FC,Reboceros de La Piedad,2024-11-06,22:00:00,pre-game
Mexico,Liga Premier Serie B,id104053554229905,Petroleros de Salamanca FC,Reboceros de La Piedad,2024-11-06,22:00:00,pre-game
Mexico,U23 Liga MX,id104038751229407,Club America U23,CF Pachuca U23,2024-11-06,15:00:00,pre-game
Mexico,U23 Liga MX,id104038751229409,Atlas FC U23,Cruz Azul U23,2024-11-06,15:00:00,pre-game
Mexico,U23 Liga MX,id104038751229411,Necaxa U23,Atletico San Luis U23,2024-11-06,15:00:00,pre-game
Mexico,U23 Liga MX,id104038751229413,Tigres UANL U23,Deportivo Toluca U23,2024-11-06,15:00:00,pre-game
Montenegro,Cup Crne Gore,id100073955186019,FK Jedinstvo Bijelo Polje,FK Mornar Bar,2024-11-06,13:00:00,pre-game
Montenegro,Cup Crne Gore,id100073955186017,FK Bokelj Kotor,OFK Grbalj,2024-11-06,13:00:00,pre-game
Montenegro,Cup Crne Gore,id100073955186015,OFK Petrovac,Mladost DG,2024-11-06,13:00:00,pre-game
Oman,Omani League,id100096553538965,Saham,Bahla Club,2024-11-06,12:45:00,pre-game
Portugal,U23 Liga Revelacao,id102608051776841,SC Farense,Estrela Amadora,2024-11-06,15:00:00,pre-game
Portugal,U23 Liga Revelacao,id102608051776729,Rio Ave,FC Famalicao,2024-11-06,15:00:00,pre-game
Russia,Russian Cup,id100009155029987,FK Rubin Kazan,CSKA Moscow,2024-11-06,14:30:00,pre-game
Russia,Russian Cup,id100009155031517,FK Zenit Saint Petersburg,RFK Akhmat Grozny,2024-11-06,17:45:00,pre-game
Russia,"Superleague, Women",id101363548334971,Spartak Moscow,FK Rostov,2024-11-06,15:00:00,pre-game
Scotland,"Premier League, Women",id100209055029707,Aberdeen LFC,Motherwell Lfc,2024-11-06,20:00:00,pre-game
Slovakia,"3. Liga, East",id104046955327065,SK Odeva Lipany,Lok. Kosice,2024-11-06,12:30:00,pre-game
Slovakia,Slovensky Pohar,id100030354801317,MFK Zemplin Michalovce,MSK Zilina,2024-11-06,15:30:00,pre-game
Slovakia,Slovensky Pohar,id100030354801371,Spartak Myjava,FK Kosice,2024-11-06,16:00:00,pre-game
Slovakia,Slovensky Pohar,id100030354903583,DAC 1904 Dunajska Streda,MFk Dukla Banska Bystrica,2024-11-06,17:00:00,pre-game
Slovenia,2. Liga,id100053254262647,NK Brinje Grosuplje,Krka Novo Mesto,2024-11-06,13:00:00,pre-game
South Africa,Premiership,id100035852371723,Mamelodi Sundowns FC,Polokwane City,2024-11-06,17:30:00,pre-game
South Africa,Premiership,id100035852371663,Stellenbosch FC,TS Galaxy FC,2024-11-06,17:30:00,pre-game
Spain,Copa de SM La Reina,id102486454646049,CA Osasuna,Levante Las Planas FC,2024-11-06,18:00:00,pre-game
Spain,Copa Federacion,id102746254567537,CD Extremadura,Las Rozas CF,2024-11-06,19:30:00,pre-game
Spain,Primera Federacion,id103483454485943,FC Barcelona Atletic,Real Sociedad San Sebastian B,2024-11-06,17:00:00,pre-game
Sweden,Svenska Cup Women,id100105853268453,Malmo FF,Trelleborgs FF,2024-11-06,18:00:00,pre-game
Sweden,Svenska Cup Women,id100105854079669,Orebro SK Soder,Linkopings FC,2024-11-06,18:00:00,pre-game
Tanzania,Premier League,id100243652431955,Simba SC,Kmc FC,2024-11-06,13:00:00,pre-game
Uganda,Premier League,id101486454057151,UPDF FC,Mbarara City FC,2024-11-06,13:00:00,pre-game
Uganda,Premier League,id101486454057149,Wakiso Giants,Lugazi Municipal FC,2024-11-06,13:00:00,pre-game
