,event_id,Event Name,Market Name,Outcome Name,Odds (Decimal),Price Numerator,Price Denominator,Outcome Type,Outcome SubType,sport,competition
0,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Kerry-Anne Tomlinson Aantal Runs - Over/Under 11.5,Over,1.87,87,100,HL,1,Cricket,"New Zealand Super Smash, Women"
3,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Kerry-Anne Tomlinson Aantal Runs - Over/Under 11.5,Under,1.87,87,100,HL,L,Cricket,"New Zealand Super Smash, Women"
6,6619004,Northern Districts (W) vs Central Hinds (W),Winnaar Wedstrijd (Inc Super Over),Central Hinds (W),3.0,2,1,HH,2,Cricket,"New Zealand Super Smash, Women"
9,6619004,Northern Districts (W) vs Central Hinds (W),Winnaar Wedstrijd (Inc Super Over),Northern Districts (W),1.38,19,50,HH,1,Cricket,"New Zealand Super Smash, Women"
12,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Nensi Patel Aantal Runs - Over/Under 9.5,Under,1.87,87,100,HL,L,Cricket,"New Zealand Super Smash, Women"
15,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Nensi Patel Aantal Runs - Over/Under 9.5,Over,1.87,87,100,HL,1,Cricket,"New Zealand Super Smash, Women"
18,6619004,Northern Districts (W) vs Central Hinds (W),Northern Districts (W) Innings 1 Dismissal 1 Aantal Runs - Over/Under 21.5,Under,1.87,87,100,HL,L,Cricket,"New Zealand Super Smash, Women"
21,6619004,Northern Districts (W) vs Central Hinds (W),Northern Districts (W) Innings 1 Dismissal 1 Aantal Runs - Over/Under 21.5,Over,1.87,87,100,HL,1,Cricket,"New Zealand Super Smash, Women"
24,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Caitlin Gurrey Aantal Runs - Over/Under 17.5,Over,1.87,87,100,HL,1,Cricket,"New Zealand Super Smash, Women"
27,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Caitlin Gurrey Aantal Runs - Over/Under 17.5,Under,1.87,87,100,HL,L,Cricket,"New Zealand Super Smash, Women"
30,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Jess Watkin Aantal Runs - Over/Under 17.5,Over,1.87,87,100,HL,1,Cricket,"New Zealand Super Smash, Women"
33,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Jess Watkin Aantal Runs - Over/Under 17.5,Under,1.87,87,100,HL,L,Cricket,"New Zealand Super Smash, Women"
36,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Thamsyn Newton Aantal Runs - Over/Under 9.5,Under,1.87,87,100,HL,L,Cricket,"New Zealand Super Smash, Women"
39,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Thamsyn Newton Aantal Runs - Over/Under 9.5,Over,1.87,87,100,HL,1,Cricket,"New Zealand Super Smash, Women"
42,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Chamari Atapattu Aantal Runs - Over/Under 24.5,Over,1.87,87,100,HL,1,Cricket,"New Zealand Super Smash, Women"
45,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Chamari Atapattu Aantal Runs - Over/Under 24.5,Under,1.87,87,100,HL,L,Cricket,"New Zealand Super Smash, Women"
48,6619004,Northern Districts (W) vs Central Hinds (W),Central Hinds (W) Innings 1 Dismissal 1 Aantal Runs - Over/Under 16.5,Under,1.87,87,100,HL,L,Cricket,"New Zealand Super Smash, Women"
51,6619004,Northern Districts (W) vs Central Hinds (W),Central Hinds (W) Innings 1 Dismissal 1 Aantal Runs - Over/Under 16.5,Over,1.87,87,100,HL,1,Cricket,"New Zealand Super Smash, Women"
54,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Hollie Armitage Aantal Runs - Over/Under 19.5,Over,1.87,87,100,HL,1,Cricket,"New Zealand Super Smash, Women"
57,6619004,Northern Districts (W) vs Central Hinds (W),Innings 1 Hollie Armitage Aantal Runs - Over/Under 19.5,Under,1.87,87,100,HL,L,Cricket,"New Zealand Super Smash, Women"
