,event_id,Event Name,Market Name,Outcome Name,Odds (Decimal),Price Numerator,Price Denominator,Outcome Type,Outcome SubType,sport,competition
0,6619075,Durban Super Giants vs Mi Cape Town,Winnaar Wedstrijd (Inc Super Over),Mi Cape Town,1.8,4,5,HH,2,Cricket,South Africa SA20 League
3,6619075,Durban Super Giants vs Mi Cape Town,Winnaar Wedstrijd (Inc Super Over),Durban Super Giants,2.0,1,1,HH,1,Cricket,South Africa SA20 League
6,6619075,Durban Super Giants vs Mi Cape Town,Mi Cape Town Innings 1 Total Fours Over/Under 12.5,Under,1.83,83,100,HL,L,Cricket,South Africa SA20 League
9,6619075,Durban Super Giants vs Mi Cape Town,Mi Cape Town Innings 1 Total Fours Over/Under 12.5,Over,1.87,87,100,HL,1,Cricket,South Africa SA20 League
12,6619075,Durban Super Giants vs Mi Cape Town,Mi Cape Town Innings 1 Dismissal 1 Aantal Runs - Over/Under 23.5,Under,1.87,87,100,HL,L,Cricket,South Africa SA20 League
15,6619075,Durban Super Giants vs Mi Cape Town,Mi Cape Town Innings 1 Dismissal 1 Aantal Runs - Over/Under 23.5,Over,1.87,87,100,HL,1,Cricket,South Africa SA20 League
18,6619075,Durban Super Giants vs Mi Cape Town,Mi Cape Town Innings 1 Total Sixes Over/Under 7.5,Over,1.73,73,100,HL,1,Cricket,South Africa SA20 League
21,6619075,Durban Super Giants vs Mi Cape Town,Mi Cape Town Innings 1 Total Sixes Over/Under 7.5,Under,1.98,49,50,HL,L,Cricket,South Africa SA20 League
24,6619075,Durban Super Giants vs Mi Cape Town,Mi Cape Town Innings 1 Aantal Runs - Over/Under 187.5,Over,2.8,9,5,HL,1,Cricket,South Africa SA20 League
27,6619075,Durban Super Giants vs Mi Cape Town,Mi Cape Town Innings 1 Aantal Runs - Over/Under 187.5,Under,1.38,19,50,HL,L,Cricket,South Africa SA20 League
30,6619075,Durban Super Giants vs Mi Cape Town,Mi Cape Town Innings 1 Aantal Runs - Over/Under 157.5,Over,1.36,9,25,HL,1,Cricket,South Africa SA20 League
33,6619075,Durban Super Giants vs Mi Cape Town,Mi Cape Town Innings 1 Aantal Runs - Over/Under 157.5,Under,2.9,19,10,HL,L,Cricket,South Africa SA20 League
36,6619075,Durban Super Giants vs Mi Cape Town,Mi Cape Town Innings 1 Aantal Runs - Over/Under 172.5,Over,1.87,87,100,HL,1,Cricket,South Africa SA20 League
39,6619075,Durban Super Giants vs Mi Cape Town,Mi Cape Town Innings 1 Aantal Runs - Over/Under 172.5,Under,1.87,87,100,HL,L,Cricket,South Africa SA20 League
42,6619075,Durban Super Giants vs Mi Cape Town,Innings 1 Rassie van der Dussen Aantal Runs - Over/Under 24.5,Under,1.87,87,100,HL,L,Cricket,South Africa SA20 League
45,6619075,Durban Super Giants vs Mi Cape Town,Innings 1 Rassie van der Dussen Aantal Runs - Over/Under 24.5,Over,1.87,87,100,HL,1,Cricket,South Africa SA20 League
48,6619075,Durban Super Giants vs Mi Cape Town,Innings 1 Rassie van der Dussen Aantal Runs - Over/Under 29.5,Over,2.15,23,20,HL,1,Cricket,South Africa SA20 League
51,6619075,Durban Super Giants vs Mi Cape Town,Innings 1 Rassie van der Dussen Aantal Runs - Over/Under 29.5,Under,1.63,63,100,HL,L,Cricket,South Africa SA20 League
54,6619075,Durban Super Giants vs Mi Cape Town,Innings 1 Rassie van der Dussen Aantal Runs - Over/Under 19.5,Over,1.65,13,20,HL,1,Cricket,South Africa SA20 League
57,6619075,Durban Super Giants vs Mi Cape Town,Innings 1 Rassie van der Dussen Aantal Runs - Over/Under 19.5,Under,2.1,11,10,HL,L,Cricket,South Africa SA20 League
60,6619075,Durban Super Giants vs Mi Cape Town,Innings 1 Ryan Rickelton Aantal Runs - Over/Under 27.5,Over,2.15,23,20,HL,1,Cricket,South Africa SA20 League
63,6619075,Durban Super Giants vs Mi Cape Town,Innings 1 Ryan Rickelton Aantal Runs - Over/Under 27.5,Under,1.63,63,100,HL,L,Cricket,South Africa SA20 League
66,6619075,Durban Super Giants vs Mi Cape Town,Innings 1 Ryan Rickelton Aantal Runs - Over/Under 17.5,Under,2.15,23,20,HL,L,Cricket,South Africa SA20 League
69,6619075,Durban Super Giants vs Mi Cape Town,Innings 1 Ryan Rickelton Aantal Runs - Over/Under 17.5,Over,1.61,61,100,HL,1,Cricket,South Africa SA20 League
72,6619075,Durban Super Giants vs Mi Cape Town,Innings 1 Ryan Rickelton Aantal Runs - Over/Under 22.5,Over,1.87,87,100,HL,1,Cricket,South Africa SA20 League
75,6619075,Durban Super Giants vs Mi Cape Town,Innings 1 Ryan Rickelton Aantal Runs - Over/Under 22.5,Under,1.87,87,100,HL,L,Cricket,South Africa SA20 League
78,6247780,Al Ain FC vs Al-Nasr Dubai SC,Dubbele Kans,Al Ain FC of Gelijkspel,1.18,9,50,DC,1,Voetbal,VAE Arabian Gulf League
79,6247780,Al Ain FC vs Al-Nasr Dubai SC,Dubbele Kans,Gelijkspel of Al-Nasr Dubai SC,1.78,39,50,DC,2,Voetbal,VAE Arabian Gulf League
80,6247780,Al Ain FC vs Al-Nasr Dubai SC,Dubbele Kans,Al Ain FC of Al-Nasr Dubai SC,1.18,9,50,DC,3,Voetbal,VAE Arabian Gulf League
81,6247780,Al Ain FC vs Al-Nasr Dubai SC,Draw No Bet,Al-Nasr Dubai SC,2.8,9,5,DN,2,Voetbal,VAE Arabian Gulf League
82,6247780,Al Ain FC vs Al-Nasr Dubai SC,Draw No Bet,Al Ain FC,1.31,31,100,DN,1,Voetbal,VAE Arabian Gulf League
83,6247780,Al Ain FC vs Al-Nasr Dubai SC,Resultaat,Al-Nasr Dubai SC,3.75,11,4,MR,2,Voetbal,VAE Arabian Gulf League
84,6247780,Al Ain FC vs Al-Nasr Dubai SC,Resultaat,Gelijkspel,3.85,57,20,MR,D,Voetbal,VAE Arabian Gulf League
85,6247780,Al Ain FC vs Al-Nasr Dubai SC,Resultaat,Al Ain FC,1.67,67,100,MR,1,Voetbal,VAE Arabian Gulf League
86,6247780,Al Ain FC vs Al-Nasr Dubai SC,Beide Teams Scoren,Nee,2.5,6,4,--,,Voetbal,VAE Arabian Gulf League
87,6247780,Al Ain FC vs Al-Nasr Dubai SC,Beide Teams Scoren,Ja,1.43,43,100,--,,Voetbal,VAE Arabian Gulf League
88,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat -1.0,Al-Nasr Dubai SC,1.98,49,50,MH,2,Voetbal,VAE Arabian Gulf League
89,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat -1.0,Gelijkspel,4.0,3,1,MH,L,Voetbal,VAE Arabian Gulf League
90,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat -1.0,Al Ain FC,2.6,8,5,MH,1,Voetbal,VAE Arabian Gulf League
91,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat -3.0,Al Ain FC,9.0,8,1,MH,1,Voetbal,VAE Arabian Gulf League
92,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat -3.0,Al-Nasr Dubai SC,1.12,3,25,MH,2,Voetbal,VAE Arabian Gulf League
93,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat -3.0,Gelijkspel,7.0,6,1,MH,L,Voetbal,VAE Arabian Gulf League
94,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat -2.0,Gelijkspel,5.0,4,1,MH,L,Voetbal,VAE Arabian Gulf League
95,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat -2.0,Al-Nasr Dubai SC,1.38,19,50,MH,2,Voetbal,VAE Arabian Gulf League
96,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat -2.0,Al Ain FC,4.75,15,4,MH,1,Voetbal,VAE Arabian Gulf League
97,6247780,Al Ain FC vs Al-Nasr Dubai SC,Aantal Goals - Over/Under 3.5,Over,1.93,93,100,HL,1,Voetbal,VAE Arabian Gulf League
98,6247780,Al Ain FC vs Al-Nasr Dubai SC,Aantal Goals - Over/Under 3.5,Under,1.71,71,100,HL,L,Voetbal,VAE Arabian Gulf League
99,6247780,Al Ain FC vs Al-Nasr Dubai SC,Aantal Goals - Over/Under 2.5,Under,2.6,8,5,HL,L,Voetbal,VAE Arabian Gulf League
100,6247780,Al Ain FC vs Al-Nasr Dubai SC,Aantal Goals - Over/Under 2.5,Over,1.38,19,50,HL,1,Voetbal,VAE Arabian Gulf League
101,6247780,Al Ain FC vs Al-Nasr Dubai SC,Aantal Goals - Over/Under 4.5,Over,3.0,2,1,HL,1,Voetbal,VAE Arabian Gulf League
102,6247780,Al Ain FC vs Al-Nasr Dubai SC,Aantal Goals - Over/Under 4.5,Under,1.29,29,100,HL,L,Voetbal,VAE Arabian Gulf League
103,6247780,Al Ain FC vs Al-Nasr Dubai SC,Aantal Goals - Over/Under 1.5,Under,5.25,17,4,HL,L,Voetbal,VAE Arabian Gulf League
104,6247780,Al Ain FC vs Al-Nasr Dubai SC,Aantal Goals - Over/Under 1.5,Over,1.1,1,10,HL,1,Voetbal,VAE Arabian Gulf League
105,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat 1.0,Al Ain FC,1.21,21,100,MH,1,Voetbal,VAE Arabian Gulf League
106,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat 1.0,Gelijkspel,5.5,9,2,MH,L,Voetbal,VAE Arabian Gulf League
107,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat 1.0,Al-Nasr Dubai SC,7.5,13,2,MH,2,Voetbal,VAE Arabian Gulf League
108,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat 2.0,Gelijkspel,8.0,7,1,MH,L,Voetbal,VAE Arabian Gulf League
109,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat 2.0,Al-Nasr Dubai SC,15.0,14,1,MH,2,Voetbal,VAE Arabian Gulf League
110,6247780,Al Ain FC vs Al-Nasr Dubai SC,Handicap Resultaat 2.0,Al Ain FC,1.05,1,20,MH,1,Voetbal,VAE Arabian Gulf League
111,6247780,Al Ain FC vs Al-Nasr Dubai SC,Aantal Goals - Over/Under 0.5,Under,9.0,8,1,HL,L,Voetbal,VAE Arabian Gulf League
112,6247780,Al Ain FC vs Al-Nasr Dubai SC,Aantal Goals - Over/Under 0.5,Over,1.01,1,100,HL,1,Voetbal,VAE Arabian Gulf League
113,6247780,Al Ain FC vs Al-Nasr Dubai SC,Aantal Goals - Over/Under 5.5,Under,1.11,11,100,HL,L,Voetbal,VAE Arabian Gulf League
114,6247780,Al Ain FC vs Al-Nasr Dubai SC,Aantal Goals - Over/Under 5.5,Over,5.0,4,1,HL,1,Voetbal,VAE Arabian Gulf League
115,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al Ain FC 3-2,11.0,10,1,CS,S,Voetbal,VAE Arabian Gulf League
116,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al Ain FC 4-3,46.0,45,1,CS,S,Voetbal,VAE Arabian Gulf League
117,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Gelijkspel 2-2,7.75,27,4,CS,S,Voetbal,VAE Arabian Gulf League
118,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al Ain FC 3-1,8.0,7,1,CS,S,Voetbal,VAE Arabian Gulf League
119,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Elke andere,6.75,23,4,CS,O,Voetbal,VAE Arabian Gulf League
120,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al Ain FC 4-2,21.0,20,1,CS,S,Voetbal,VAE Arabian Gulf League
121,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al-Nasr Dubai SC 3-2,18.0,17,1,CS,S,Voetbal,VAE Arabian Gulf League
122,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Gelijkspel 3-3,23.0,22,1,CS,S,Voetbal,VAE Arabian Gulf League
123,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al-Nasr Dubai SC 2-0,19.0,18,1,CS,S,Voetbal,VAE Arabian Gulf League
124,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al-Nasr Dubai SC 2-1,9.0,8,1,CS,S,Voetbal,VAE Arabian Gulf League
125,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Gelijkspel 4-4,126.0,125,1,CS,S,Voetbal,VAE Arabian Gulf League
126,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al Ain FC 2-1,6.0,5,1,CS,S,Voetbal,VAE Arabian Gulf League
127,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al-Nasr Dubai SC 4-1,61.0,60,1,CS,S,Voetbal,VAE Arabian Gulf League
128,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al Ain FC 2-0,7.75,27,4,CS,S,Voetbal,VAE Arabian Gulf League
129,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al-Nasr Dubai SC 3-0,41.0,40,1,CS,S,Voetbal,VAE Arabian Gulf League
130,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Gelijkspel 1-1,5.75,19,4,CS,S,Voetbal,VAE Arabian Gulf League
131,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al Ain FC 4-1,14.0,13,1,CS,S,Voetbal,VAE Arabian Gulf League
132,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Gelijkspel 0-0,15.0,14,1,CS,S,Voetbal,VAE Arabian Gulf League
133,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al-Nasr Dubai SC 4-3,71.0,70,1,CS,S,Voetbal,VAE Arabian Gulf League
134,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al-Nasr Dubai SC 4-0,126.0,125,1,CS,S,Voetbal,VAE Arabian Gulf League
135,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al Ain FC 1-0,8.5,15,2,CS,S,Voetbal,VAE Arabian Gulf League
136,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al-Nasr Dubai SC 1-0,13.0,12,1,CS,S,Voetbal,VAE Arabian Gulf League
137,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al-Nasr Dubai SC 3-1,20.0,19,1,CS,S,Voetbal,VAE Arabian Gulf League
138,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al Ain FC 3-0,10.0,9,1,CS,S,Voetbal,VAE Arabian Gulf League
139,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al-Nasr Dubai SC 4-2,51.0,50,1,CS,S,Voetbal,VAE Arabian Gulf League
140,6247780,Al Ain FC vs Al-Nasr Dubai SC,Correct Score,Al Ain FC 4-0,19.0,18,1,CS,S,Voetbal,VAE Arabian Gulf League
141,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Aantal Punten - Over/Under 157.5,Under,1.77,77,100,HL,L,Basketbal,Litouwen LKL
142,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Aantal Punten - Over/Under 157.5,Over,1.87,87,100,HL,1,Basketbal,Litouwen LKL
143,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Winnaar,Neptunas Klaipeda,2.0,1,1,HH,1,Basketbal,Litouwen LKL
144,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Winnaar,BC Zalgiris Kaunas II,1.65,13,20,HH,2,Basketbal,Litouwen LKL
145,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Wedstrijd - Resultaat (excl. OT),BC Zalgiris Kaunas II,1.73,73,100,MR,2,Basketbal,Litouwen LKL
146,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Wedstrijd - Resultaat (excl. OT),Neptunas Klaipeda,2.15,23,20,MR,1,Basketbal,Litouwen LKL
147,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Wedstrijd - Resultaat (excl. OT),Gelijkspel,13.0,12,1,MR,D,Basketbal,Litouwen LKL
148,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Handicap - Winnaar 2.5,Neptunas Klaipeda,1.78,39,50,WH,1,Basketbal,Litouwen LKL
149,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Handicap - Winnaar 2.5,BC Zalgiris Kaunas II,1.83,83,100,WH,2,Basketbal,Litouwen LKL
150,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Will there Be Overtime,Ja,6.75,23,4,--,,Basketbal,Litouwen LKL
151,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Will there Be Overtime,Nee,1.03,3,100,--,,Basketbal,Litouwen LKL
152,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Winning Margin 11+,Neptunas Klaipeda by 6-10,5.75,19,4,--,,Basketbal,Litouwen LKL
153,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Winning Margin 11+,BC Zalgiris Kaunas II by 6-10,4.75,15,4,--,,Basketbal,Litouwen LKL
154,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Winning Margin 11+,Neptunas Klaipeda by 1-5,4.75,15,4,--,,Basketbal,Litouwen LKL
155,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Winning Margin 11+,BC Zalgiris Kaunas II by 1-5,4.5,7,2,--,,Basketbal,Litouwen LKL
156,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Winning Margin 11+,Neptunas Klaipeda by 11+,4.75,15,4,--,,Basketbal,Litouwen LKL
157,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Winning Margin 11+,BC Zalgiris Kaunas II by 11+,3.5,5,2,--,,Basketbal,Litouwen LKL
158,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Half-Time / Full-Time,Gelijkspel - BC Zalgiris Kaunas II,34.0,33,1,HF,6,Basketbal,Litouwen LKL
159,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Half-Time / Full-Time,Gelijkspel - Gelijkspel,201.0,200,1,HF,5,Basketbal,Litouwen LKL
160,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Half-Time / Full-Time,BC Zalgiris Kaunas II - Gelijkspel,26.0,25,1,HF,8,Basketbal,Litouwen LKL
161,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Half-Time / Full-Time,BC Zalgiris Kaunas II - BC Zalgiris Kaunas II,2.2,6,5,HF,9,Basketbal,Litouwen LKL
162,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Half-Time / Full-Time,Neptunas Klaipeda - Neptunas Klaipeda,2.8,9,5,HF,1,Basketbal,Litouwen LKL
163,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Half-Time / Full-Time,Gelijkspel - Neptunas Klaipeda,41.0,40,1,HF,4,Basketbal,Litouwen LKL
164,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Half-Time / Full-Time,Neptunas Klaipeda - BC Zalgiris Kaunas II,6.25,21,4,HF,3,Basketbal,Litouwen LKL
165,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Half-Time / Full-Time,Neptunas Klaipeda - Gelijkspel,26.0,25,1,HF,2,Basketbal,Litouwen LKL
166,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Half-Time / Full-Time,BC Zalgiris Kaunas II - Neptunas Klaipeda,7.0,6,1,HF,7,Basketbal,Litouwen LKL
167,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Handicap - Winnaar 3.5,Neptunas Klaipeda,1.69,69,100,WH,1,Basketbal,Litouwen LKL
168,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Handicap - Winnaar 3.5,BC Zalgiris Kaunas II,1.98,49,50,WH,2,Basketbal,Litouwen LKL
169,6627097,Neptunas Klaipeda vs BC Zalgiris Kaunas II,Aantal Punten - Over/Under 156.5,Under,1.83,83,100,HL,L,Basketbal,Litouwen LKL
