,sports,competitions
2200-2400,"['Basketbal', 'Volleybal']","['Chili LNB', 'Italy Serie A2']"
2400-2600,[],[]
2600-2800,['Voetbal'],['Argentinië Superliga']
2800-3000,[],[]
3000-3200,"['Volleybal', 'Handbal', 'Voetbal']","['Saudi Arabië League Division 1', 'Oostenrijk Volley League', 'Wereld Kampioenschap', 'Oostenrijk Volley League Vrouwen', 'Panama Liga de Fútbol']"
3200-3400,"['Basketbal', 'IJshockey', 'Voetbal', 'Volleybal']","['Ethiopië Premier League', 'Portugal Divisao Mannen', 'UEFA Champions League', 'Mexico League MX Vrouwen', 'Portugal Campeonato Nacional, Vrouwen', 'Venezuela Primera Division', 'UEFA Europa League', 'Duitsland DEL 2', 'BNXT League', 'Panama Liga de Fútbol']"
3400-3600,"['TOTO Specials', 'Basketbal', 'Voetbal']","['Ethiopië Premier League', 'Qatar Stars League', 'Goalgetter Boost', 'Boost van de Dag', 'Competitie Specials', 'Marokko Botola', 'Combi Boost', 'Argentinië NBL A', 'Indonesië Liga 1']"
3600-3800,"['Futsal', 'Basketbal', 'IJshockey', 'Voetbal']","['Czech Republic Futsal Liga', 'VS AHL', 'Zuid-Korea KBL Vrouwen', 'Italie Serie A2', 'Italië Serie A', 'Egypte Second Division']"
3800-4000,"['Voetbal', 'Cricket', 'Volleybal', 'Tennis', 'TOTO Specials']","['ATP Challenger Cleveland, Dubbelspel', 'Oostenrijk Volley League', 'Finland Mestaruusliiga Vrouwen', 'Griekenland A1 League Vrouwen', 'ATP Challenger Cleveland, Enkelspel', 'Competitie Specials', 'Argentinië Serie A1 Vrouwen', 'Finland Mestarluusliiga', 'ATP Montpellier, Enkelspel', 'Bangladesh Premier League', 'Griekenland Volleyleague', 'Spanje Segunda Division RFEF', 'Jamaica National Premier League', 'Bulgarije Liga Mannen', 'ATP Montpellier, Dubbelspel']"
4000-4200,"['Futsal', 'Handbal', 'Voetbal']","['Brazil Gaucho A1', 'Brazil Campeonato Paranaense', 'Greece A1 League', 'Brazilië Cearense', 'Brazilië Mineiro Modulo I', 'UAE President Cup', 'Italië Serie A']"
4200-4400,[],[]
4400-4600,"['Volleybal', 'Voetbal']","['Andorra First Division', 'Zweden Elitserien Mannen', 'Zweden Eliteserien Vrouwen']"
4600-4800,[],[]
4800-5000,[],[]
5000-5200,[],[]
5200-5400,[],[]
5400-5600,['Voetbal'],['Andorra First Division']
5600-5800,['Volleybal'],"['Zweden Elitserien Mannen', 'Zweden Eliteserien Vrouwen']"
5800-6000,['Volleybal'],['Servië Wiener Städtische Liga']
6000-6200,"['Volleybal', 'IJshockey']","['Elite Ice Hockey League', 'Zwitserland NLA Vrouwen', ""Men's Superliga de Voleibol Masculina"", 'België Liga A Vrouwen', 'Superliga Femenina']"
