event_id,match_name,start_time,home_team,away_team,competition,country,sport,home_odds,away_odds
6648709,UE Olot vs RCD Espanyol Barcelona B,2025-01-26T16:00:00Z,UE Olot,RCD Espanyol Barcelona B,Spanje Segunda Division RFEF,Spanje,Voetbal,2.2,3.15
6636742,Vere United FC vs Racing United FC,2025-01-26T20:00:00Z,Vere United FC,Racing United FC,Jamaica National Premier League,Jamaica,Voetbal,2.8,2.3
6552158,Xerez Deportivo FC vs CF Cadiz B,2025-01-26T15:30:00Z,Xerez Deportivo FC,CF Cadiz B,Spanje Segunda Division RFEF,Spanje,Voetbal,1.73,4.25
6667931,VK Dunav Ruse vs Cherno More Bask,2025-01-26T15:00:00Z,VK Dunav Ruse,Cherno More Bask,Bulgarije Liga Mannen,Bulgarije,Volleybal,1.83,1.87
6662291,Al-Wasl FC vs Al Ittihad Kalba,2025-01-26T14:30:00Z,Al-Wasl FC,Al Ittihad Kalba,UAE President Cup,Verenigde Arabische Emiraten,Voetbal,1.61,4.0
6531366,America FC vs Villa Nova AC MG,2025-01-26T21:30:00Z,America FC,Villa Nova AC MG,Brazilië Mineiro Modulo I,Brazilië,Voetbal,1.25,10.0
6679658,Asd Benevento 5 vs Fortitudo Pomezia,2025-01-26T19:45:00Z,Asd Benevento 5,Fortitudo Pomezia,Italië Serie A,Italië,Futsal,3.65,1.59
6679659,Calcio A 5 Manfredonia vs Active Network,2025-01-26T19:45:00Z,Calcio A 5 Manfredonia,Active Network,Italië Serie A,Italië,Futsal,2.25,2.4
6687740,Came Dosson C5 vs Olimpus Roma,2025-01-26T19:45:00Z,Came Dosson C5,Olimpus Roma,Italië Serie A,Italië,Futsal,2.6,1.98
6531315,Clube Andraus Brasil PR vs Maringa FC PR,2025-01-26T19:00:00Z,Clube Andraus Brasil PR,Maringa FC PR,Brazil Campeonato Paranaense,Brazilië,Voetbal,5.5,1.57
6658461,Diomidis Argous vs Olympiacos,2025-01-26T16:00:00Z,Diomidis Argous,Olympiacos,Greece A1 League,Griekenland,Handbal,4.0,1.33
6578887,EC Democrata MG vs Tombense FC MG,2025-01-26T18:00:00Z,EC Democrata MG,Tombense FC MG,Brazilië Mineiro Modulo I,Brazilië,Voetbal,3.4,2.2
6578970,EC Pelotas RS vs Monsoon FC RS,2025-01-26T19:00:00Z,EC Pelotas RS,Monsoon FC RS,Brazil Gaucho A1,Brazilië,Voetbal,1.87,4.0
6578950,Esporte Clube Avenida RS vs Ypiranga FC RS,2025-01-26T22:00:00Z,Esporte Clube Avenida RS,Ypiranga FC RS,Brazil Gaucho A1,Brazilië,Voetbal,2.8,2.5
6672462,FC Baniyas vs Sharjah FC,2025-01-27T14:30:00Z,FC Baniyas,Sharjah FC,UAE President Cup,Verenigde Arabische Emiraten,Voetbal,5.0,1.61
6631089,FC Cascavel PR vs Azuniz FC,2025-01-26T19:00:00Z,FC Cascavel PR,Azuniz FC,Brazil Campeonato Paranaense,Brazilië,Voetbal,1.93,3.85
6679657,Feldi Eboli vs L84,2025-01-26T19:45:00Z,Feldi Eboli,L84,Italië Serie A,Italië,Futsal,1.63,3.25
6531355,Ferroviario AC CE vs Ceará,2025-01-26T20:00:00Z,Ferroviario AC CE,Ceará,Brazilië Cearense,Brazilië,Voetbal,5.75,1.43
6531300,Fortaleza CE vs Cariri CE,2025-01-27T23:30:00Z,Fortaleza CE,Cariri CE,Brazilië Cearense,Brazilië,Voetbal,1.11,13.0
6531377,Grêmio vs Ser Caxias Do Sul RS,2025-01-26T23:30:00Z,Grêmio,Ser Caxias Do Sul RS,Brazil Gaucho A1,Brazilië,Voetbal,1.36,6.0
6627206,Londrina EC PR vs Parana,2025-01-26T21:30:00Z,Londrina EC PR,Parana,Brazil Campeonato Paranaense,Brazilië,Voetbal,1.91,4.25
6531310,Maracana CE vs CF Atletas Do Tirol CE,2025-01-26T19:00:00Z,Maracana CE,CF Atletas Do Tirol CE,Brazilië Cearense,Brazilië,Voetbal,1.69,3.75
6679656,Meta Catania Calcio A 5 vs Napoli Calcio A5,2025-01-26T19:45:00Z,Meta Catania Calcio A 5,Napoli Calcio A5,Italië Serie A,Italië,Futsal,1.87,2.8
6627207,Operario Ferroviario vs Independente FSJ PR,2025-01-26T19:00:00Z,Operario Ferroviario,Independente FSJ PR,Brazil Campeonato Paranaense,Brazilië,Voetbal,1.26,9.5
6687781,Pesaro vs Asd Sandro Abate,2025-01-26T19:45:00Z,Pesaro,Asd Sandro Abate,Italië Serie A,Italië,Futsal,2.2,2.25
6687746,Pirossigeno Cosenza vs Petrarca Calcio A Cinque,2025-01-26T19:45:00Z,Pirossigeno Cosenza,Petrarca Calcio A Cinque,Italië Serie A,Italië,Futsal,1.87,2.8
